SH_Price,New_Price,Brand,Model,Memory,Color,Condition,Ram,Resolution,Battery_size,No_Rear_Cameras,Model_year,Rating,Date_Extracted
769,1150,Samsung, Galaxy A30S Dual Sim,64,White,  Foarte Bun,3,720,4000,3,2019,3.6,08.04.2022
759,1000,Samsung, Galaxy A31 Dual Sim,128,White,  Excelent,4,1080,5000,4,2020,3.1,30.04.2022
899,1150,Samsung, Galaxy A32 5G Dual Sim,64,White,  Excelent,4,720,5000,4,2021,3.1,30.04.2022
859,1150,Samsung, Galaxy A32 5G Dual Sim,64,Purple,  Foarte Bun,4,720,5000,4,2021,3.1,30.04.2022
849,1150,Samsung, Galaxy A32 5G Dual Sim,64,Black,  Foarte Bun,4,720,5000,4,2021,3.1,08.04.2022
899,1200,Samsung, Galaxy A32 Dual Sim,128,Purple,  Foarte Bun,4,1080,5000,4,2021,3.3,30.04.2022
899,1200,Samsung, Galaxy A32 Dual Sim,128,Purple,  Foarte Bun,4,1080,5000,4,2021,3.3,30.04.2022
899,1200,Samsung, Galaxy A32 Dual Sim,128,Purple,  Foarte Bun,4,1080,5000,4,2021,3.3,30.04.2022
959,1200,Samsung, Galaxy A32 Dual Sim,128,Blue,  Excelent,4,1080,5000,4,2021,3.3,30.04.2022
859,1200,Samsung, Galaxy A32 Dual Sim,128,Black,  Bun,4,1080,5000,4,2021,3.3,30.04.2022
599,900,Samsung, Galaxy A40 Dual Sim,64,Black,  Foarte Bun,4,1080,3100,2,2019,3,08.04.2022
899,1270,Samsung, Galaxy A41,64,Blue,  Excelent,4,1080,3500,3,2020,3.5,08.04.2022
849,1270,Samsung, Galaxy A41 Dual Sim,64,White,  Foarte Bun,4,1080,3500,3,2020,3.5,08.04.2022
899,1300,Samsung, Galaxy A42 5G Dual Sim,128,Black,  Foarte Bun,4,720,5000,4,2020,4,30.04.2022
859,1300,Samsung, Galaxy A42 5G Dual Sim,128,Black,  Bun,4,720,5000,4,2020,4,30.04.2022
819,1200,Samsung, Galaxy A50 (2019) Dual Sim,128,White,  Bun,4,1080,4000,3,2019,4,30.04.2022
819,1200,Samsung, Galaxy A50 (2019) Dual Sim,128,Black,  Bun,4,1080,4000,3,2019,4,30.04.2022
819,1200,Samsung, Galaxy A50 (2019) Dual Sim,128,Coral,  Bun,4,1080,4000,3,2019,4,30.04.2022
879,1200,Samsung, Galaxy A50 (2019) Dual Sim,128,Black,  Foarte Bun,4,1080,4000,3,2019,4,30.04.2022
819,1200,Samsung, Galaxy A50 (2019) Dual Sim,128,Blue,  Bun,4,1080,4000,3,2019,4,30.04.2022
869,1200,Samsung, Galaxy A50 (2019) Dual Sim,128,Black,  Foarte Bun,4,1080,4000,3,2019,3.7,08.04.2022
869,1200,Samsung, Galaxy A50 (2019) Dual Sim,128,White,  Foarte Bun,4,1080,4000,3,2019,3.7,08.04.2022
869,1200,Samsung, Galaxy A50 (2019) Dual Sim,128,Blue,  Foarte Bun,4,1080,4000,3,2019,3.7,08.04.2022
869,1200,Samsung, Galaxy A50 (2019) Dual Sim,128,White,  Foarte Bun,4,1080,4000,3,2019,3.7,08.04.2022
869,1200,Samsung, Galaxy A50 (2019) Dual Sim,128,White,  Foarte Bun,4,1080,4000,3,2019,3.7,08.04.2022
809,1200,Samsung, Galaxy A50 (2019) Dual Sim,128,Black,  Bun,4,1080,4000,3,2019,3.7,08.04.2022
809,1200,Samsung, Galaxy A50 (2019) Dual Sim,128,Black,  Bun,4,1080,4000,3,2019,3.7,08.04.2022
809,1200,Samsung, Galaxy A50 (2019) Dual Sim,128,Black,  Bun,4,1080,4000,3,2019,3.7,08.04.2022
949,1350,Samsung, Galaxy A51,128,Blue,  Bun,4,1080,4000,4,2019,3.6,08.04.2022
999,1350,Samsung, Galaxy A51 Dual Sim,128,Black,  Foarte Bun,4,1080,4000,4,2019,3.6,30.04.2022
1059,1350,Samsung, Galaxy A51 Dual Sim,128,Black,  Excelent,4,1080,4000,4,2019,3.6,30.04.2022
999,1350,Samsung, Galaxy A51 Dual Sim,128,Blue,  Foarte Bun,4,1080,4000,4,2019,3.6,30.04.2022
999,1350,Samsung, Galaxy A51 Dual Sim,128,Blue,  Foarte Bun,4,1080,4000,4,2019,3.6,30.04.2022
999,1350,Samsung, Galaxy A51 Dual Sim,128,Blue,  Foarte Bun,4,1080,4000,4,2019,3.6,30.04.2022
1059,1350,Samsung, Galaxy A51 Dual Sim,128,Blue,  Excelent,4,1080,4000,4,2019,3.6,30.04.2022
959,1350,Samsung, Galaxy A51 Dual Sim,128,Black,  Bun,4,1080,4000,4,2019,3.6,30.04.2022
999,1350,Samsung, Galaxy A51 Dual Sim,128,White,  Foarte Bun,4,1080,4000,4,2019,3.6,30.04.2022
959,1350,Samsung, Galaxy A51 Dual Sim,128,Blue,  Bun,4,1080,4000,4,2019,3.6,30.04.2022
949,1350,Samsung, Galaxy A51 Dual Sim,128,Black,  Bun,4,1080,4000,4,2020,3.6,08.04.2022
1049,1400,Samsung, Galaxy A52 Dual Sim,128,Black,  Foarte Bun,4,1080,4500,5,2021,4.2,08.04.2022
1169,1400,Samsung, Galaxy A52 Dual Sim,128,Black,  Ca Nou,4,1080,4500,5,2021,4.2,08.04.2022
949,1400,Samsung, Galaxy A52 Dual Sim,128,Black,  Bun,4,1080,4500,5,2021,4.2,08.04.2022
1169,1400,Samsung, Galaxy A52 Dual Sim,128,Black,  Ca Nou,4,1080,4500,5,2021,4.2,08.04.2022
1169,1400,Samsung, Galaxy A52 Dual Sim,128,Black,  Ca Nou,4,1080,4500,5,2021,4.2,08.04.2022
499,1042,Samsung, Galaxy A6 (2018),32,Black,  Bun,3,720,3000,1,2018,2.9,08.04.2022
597,1042,Samsung, Galaxy A6 (2018),32,Gold,  Ca Nou,3,720,3000,1,2018,2.9,08.04.2022
729,1203,Samsung, Galaxy A6 Plus (2018),32,Black,  Excelent,3,1080,3500,2,2018,3.5,08.04.2022
739,1203,Samsung, Galaxy A6 Plus (2018) Dual Sim,32,Gold,  Excelent,3,1080,3500,2,2018,3.5,30.04.2022
699,1203,Samsung, Galaxy A6 Plus (2018) Dual Sim,32,Black,  Foarte Bun,3,1080,3500,2,2018,3.5,08.04.2022
699,1261,Samsung, Galaxy A7 (2018) Dual Sim,64,Black,  Foarte Bun,4,1080,3300,3,2018,3.7,30.04.2022
759,1261,Samsung, Galaxy A7 (2018) Dual Sim,64,Black,  Excelent,4,1080,3300,3,2018,3.7,30.04.2022
659,1261,Samsung, Galaxy A7 (2018) Dual Sim,64,Black,  Bun,4,1080,3300,3,2018,3.7,30.04.2022
699,1261,Samsung, Galaxy A7 (2018) Dual Sim,64,Gold,  Foarte Bun,4,1080,3300,3,2018,3.7,30.04.2022
659,1261,Samsung, Galaxy A7 (2018) Dual Sim,64,Blue,  Bun,4,1080,3300,3,2018,3.7,30.04.2022
649,1100,Samsung, Galaxy A7 (2018) Dual Sim,64,Black,  Bun,4,1080,3300,3,2018,3.7,08.04.2022
699,1261,Samsung, Galaxy A7 (2018) Dual Sim,64,Black,  Foarte Bun,4,1080,3300,3,2018,3.7,08.04.2022
999,1650,Samsung, Galaxy A70 (2019) Dual Sim,128,Blue,  Foarte Bun,6,1080,4500,3,2019,3.8,30.04.2022
999,1650,Samsung, Galaxy A70 (2019) Dual Sim,128,Black,  Foarte Bun,6,1080,4500,3,2019,3.8,30.04.2022
939,1650,Samsung, Galaxy A70 (2019) Dual Sim,128,Black,  Bun,6,1080,4500,3,2019,3.8,30.04.2022
999,1650,Samsung, Galaxy A70 (2019) Dual Sim,128,Coral,  Foarte Bun,6,1080,4500,3,2019,3.8,30.04.2022
939,1650,Samsung, Galaxy A70 (2019) Dual Sim,128,Blue,  Bun,6,1080,4500,3,2019,3.8,30.04.2022
1049,1650,Samsung, Galaxy A70 (2019) Dual Sim,128,Blue,  Excelent,6,1080,4500,3,2019,3.8,08.04.2022
999,1650,Samsung, Galaxy A70 (2019) Dual Sim,128,Blue,  Foarte Bun,6,1080,4500,3,2019,3.8,08.04.2022
1049,1650,Samsung, Galaxy A70 (2019) Dual Sim,128,Blue,  Excelent,6,1080,4500,3,2019,3.8,08.04.2022
929,1650,Samsung, Galaxy A70 (2019) Dual Sim,128,Black,  Bun,6,1080,4500,3,2019,3.8,08.04.2022
1259,1540,Samsung, Galaxy A71,128,Blue,  Foarte Bun,6,1080,4500,4,2019,4,30.04.2022
1249,1540,Samsung, Galaxy A71,128,Blue,  Foarte Bun,6,1080,4500,4,2019,4,08.04.2022
1259,1540,Samsung, Galaxy A71 Dual Sim,128,Grey,  Foarte Bun,6,1080,4500,4,2019,4,30.04.2022
1259,1540,Samsung, Galaxy A71 Dual Sim,128,Blue,  Foarte Bun,6,1080,4500,4,2019,4,30.04.2022
1189,1540,Samsung, Galaxy A71 Dual Sim,128,Black,  Bun,6,1080,4500,4,2019,4,30.04.2022
1189,1540,Samsung, Galaxy A71 Dual Sim,128,Grey,  Bun,6,1080,4500,4,2019,4,30.04.2022
1189,1540,Samsung, Galaxy A71 Dual Sim,128,Blue,  Bun,6,1080,4500,4,2019,4,30.04.2022
1259,1540,Samsung, Galaxy A71 Dual Sim,128,Black,  Foarte Bun,6,1080,4500,4,2019,4,30.04.2022
1179,1540,Samsung, Galaxy A71 Dual Sim,128,Black,  Bun,6,1080,4500,4,2019,4,08.04.2022
1299,1540,Samsung, Galaxy A71 Dual Sim,128,Black,  Excelent,6,1080,4500,4,2019,4,08.04.2022
1249,1540,Samsung, Galaxy A71 Dual Sim,128,Black,  Foarte Bun,6,1080,4500,4,2019,4,08.04.2022
1249,1540,Samsung, Galaxy A71 Dual Sim,128,Blue,  Foarte Bun,6,1080,4500,4,2019,4,08.04.2022
789,1320,Samsung, Galaxy A8 (2018),32,Gold,  Excelent,4,1080,3000,1,2018,4.1,08.04.2022
739,1320,Samsung, Galaxy A8 (2018),32,Black,  Foarte Bun,4,1080,3000,1,2018,4.1,08.04.2022
699,1320,Samsung, Galaxy A8 (2018) Dual Sim,32,Gold,  Bun,4,1080,3000,1,2018,4.1,30.04.2022
749,1320,Samsung, Galaxy A8 (2018) Dual Sim,32,Gold,  Foarte Bun,4,1080,3000,1,2018,4.1,30.04.2022
799,1320,Samsung, Galaxy A8 (2018) Dual Sim,32,Black,  Excelent,4,1080,3000,1,2018,4.1,30.04.2022
799,1320,Samsung, Galaxy A8 (2018) Dual Sim,32,Gold,  Excelent,4,1080,3000,1,2018,4.1,30.04.2022
749,1320,Samsung, Galaxy A8 (2018) Dual Sim,32,Black,  Foarte Bun,4,1080,3000,1,2018,4.1,30.04.2022
749,1320,Samsung, Galaxy A8 (2018) Dual Sim,32,Grey,  Foarte Bun,4,1080,3000,1,2018,4.1,30.04.2022
799,1320,Samsung, Galaxy A8 (2018) Dual Sim,32,Black,  Excelent,4,1080,3000,1,2018,4.1,30.04.2022
799,1320,Samsung, Galaxy A8 (2018) Dual Sim,32,Black,  Excelent,4,1080,3000,1,2018,4.1,30.04.2022
739,1320,Samsung, Galaxy A8 (2018) Dual Sim,32,Black,  Foarte Bun,4,1080,3000,1,2018,4.1,08.04.2022
799,1550,Samsung, Galaxy A9 (2018) Dual Sim,128,Blue,  Bun,6,1080,3800,4,2018,3.1,30.04.2022
859,1550,Samsung, Galaxy A9 (2018) Dual Sim,128,Black,  Foarte Bun,6,1080,3800,4,2018,3.1,30.04.2022
